author,text,likes,published_at
@Akash.900,Patello lazima apunguze pombe ndiyo hadumu.Liver inaumia bro.,0,2025-08-01T22:19:35Z
@Mmuemanzomo,"Si watu wengi huwapea maua Big up to the technical team, to the stream. for the colour grading, the lighting guy, and the sound guy, director, live streaming is not easy. I’ve seen you guys figure it out from the early days of mishaps, up to now. This is very good colour grading and lighting. You’ve captured Obinna’s lighting well without misrepresenting his skin tone. If it’s new equipment you bought or a new person who joined the team endeleeni hivyo hivyo.",0,2025-08-01T21:45:57Z
@EmilyGichuru,Thr most watched video.....,0,2025-08-01T21:36:48Z
@elivern.g.7664,Huyu anajua 500 million ni nini?😂😂😂😂😂,1,2025-08-01T21:26:23Z
@franktoneskorosov.4217,Husband looks so mature..,0,2025-08-01T21:25:51Z
@franktoneskorosov.4217,Kwani huwa pesa mnatoa wapi?,0,2025-08-01T21:17:48Z
@trendwithvibe-c8m,Diana anabambikanga kwa nyumba ju ya huyuu mseee😂😂😂😂😂😂😂😂😂😂,1,2025-08-01T20:47:50Z
@Sweenmulongo,Nawatch leo,0,2025-08-01T20:46:58Z
@petermakau6436,Apo kuna camera inalost show ikiisha 😂😂😂,0,2025-08-01T20:46:35Z
@VictorKyalo-u4d,Napenda vile alikua anaswap maswali za dee anajibu zote😂😂,2,2025-08-01T20:42:28Z
@poetryarts8163,Na muende msubscribe page ya 3men army,0,2025-08-01T20:36:51Z
@gladwelchepkemoi6249,The man is very responsible despite his age it's incredible,1,2025-08-01T20:30:16Z
@faithwamaitha9017,500m aje ! The more you ask the more you get confused,1,2025-08-01T20:26:06Z
@faithwamaitha9017,Drinking alcohol is bad ... So you guys mudumu,0,2025-08-01T20:08:28Z
@jjmhumble353,Hapa chai ni moto Obinna amesaviwa vile amekuja😂😂😂,1,2025-08-01T19:49:17Z
@hyrineakoth3501,Wakudumu watadumu😂,0,2025-08-01T19:46:56Z
@TiffahHassan-rq9gm,Napenda vile anafanya mdomo akishatupima😅😂,2,2025-08-01T19:16:54Z
@TiffahHassan-rq9gm,Na obinna anatoa toa macho leo😂,1,2025-08-01T18:11:44Z
@crazykids5779,"Nlikuwa nimegojea mtulie dio ni comment, wakudumu watadumu,kitambo nkiwa njinga nlikuwa nadhani obina ni mm oga😅",0,2025-08-01T17:39:09Z
@sylviayida7637,Dee is so matured and collected damn😍,0,2025-08-01T17:31:13Z
@lawrencekaranga3980,"I swear this is not the Diana I know for years,,,she is sooooooo calm and submissive 🤔🤔Diana is that really you🤔what changed🤔 Glad to see you happy though",1,2025-08-01T17:23:14Z
@evalyneogango3845,VJ Partelo for president ❤,0,2025-08-01T14:19:05Z
@CollinsMunene-si5vk,Best wishes for partelo and diana💥💥kupendana ni kadailer yut fi yut👊👊,6,2025-08-01T14:02:33Z
@rosewachira5169,na Diana anafanya kazi gani online?,0,2025-08-01T13:53:21Z
@piusnzau7477,"Ivo to,,sasa hizo choum baya ndio zetu,,😂😂😂😂",0,2025-08-01T13:36:13Z
@JuniorGazakartel,Big up oga@di top for bringing up our celebrities🎉,3,2025-08-01T13:22:36Z
@JuniorGazakartel,"Niki receive notification Ati mtu Amelike hii comment inabidi narudi tena kuangalia hii interview""Big up partelo na Diana 💯🔥🚀",119,2025-08-01T13:21:31Z
@Onesteapatatime,Queen of the south ❤❤,1,2025-08-01T12:47:49Z
@maajeega5207,"Obinna let me tell you. This type of respect, support and energy is more than anything one can pay for. ❤❤❤ Look at how all those men are showing up for him? 🎉🎉🎉🎉. It is priceless and rare in the days we are living in❤❤",6,2025-08-01T12:17:53Z
@JoanKinyua-ni6lo,Nani anairudia friday morning😂😂,0,2025-08-01T11:49:09Z
@lillianatieno5362,"Nani amerudi kurudia on a Friday 😂 Wakudumu Watadumu siku zotee ""Zombotote"" Respect Partello na Dee 🙌🙌👏👏👏 Topshottaaaa 😁",0,2025-08-01T09:55:27Z
@dennisochieng9774,That woman is nowhere below 40,0,2025-08-01T09:43:39Z
@amark102,So I'm here with my mouth wide open.Wakudumu wadumu,0,2025-08-01T08:34:04Z
@CreativeIncident,Make it make sense 😂,0,2025-08-01T08:18:50Z
@beatriceodhiambo1386,Right match😂😂😂,0,2025-08-01T08:04:33Z
